2014-01-17,東証
コード,銘柄名,市場,業種,始値,高値,安値,終値,出来高,売買代金
1301,極洋,東証1部,水産・農林業,268,270,268,269,391000,105040000
1305,ETFTPX,東証,その他,1331,1339,1330,1337,511510,682824970
1306,TOPIX投,東証,その他,1317,1326,1315,1323,4135720,5462636800
1308,上場TPX,東証,その他,1302,1311,1302,1309,586700,767213200
1309,上証50連,東証,その他,18220,18460,18150,18150,1198,21870670
1310,ETF･コア30,東証,その他,676,676,672,675,1250,842920
1311,TOPIX30,東証,その他,693,696,691,695,3960,2742560
1312,RN小型コア,東証,その他,14120,14430,14120,14420,46,654210
1313,KODEX200,東証,その他,2525,2525,2519,2521,530,1336560
1314,上場新興,東証,その他,1198,1210,1170,1210,2200,2647500
1316,上場大型,東証,その他,865,865,861,863,530,456870
1317,上場中型,東証,その他,1396,1400,1389,1394,850,1183930
1318,上場小型,東証,その他,1500,1500,1493,1500,710,1064010
1319,300投信,東証,その他,229,229,229,229,6000,1374000
1320,ETF225,東証,その他,15990,16100,15940,16060,104852,1679944720
1321,225投信,東証,その他,15980,16100,15930,16050,347985,5572100100
1322,上場パンタ,東証,その他,2981,3000,2981,3000,780,2336570
1323,南ア40,東証,その他,363,365,362,362,600,218200
1324,RTS連動,東証,その他,131,131,128,128,21600,2788000
1325,ボベスパ,東証,その他,182,183,181,183,116900,21264600
1326,SPDRゴール,東証,その他,12480,12530,12480,12530,1979,24735750
1327,EASY商品,東証,その他,4620,4625,4620,4625,6,27725
1328,金連動,東証,その他,3595,3595,3570,3585,2100,7522600
1329,iS225,東証,その他,16040,16150,16010,16100,86730,1392516900
1330,上場225,東証,その他,16050,16160,16000,16110,355950,5723293800
1332,日水,東証1部,水産・農林業,229,233,228,232,1481800,341602500
1334,マルハニチロHD,東証1部,水産・農林業,180,180,179,179,1916000,343857000
1343,REIT-ETF,東証,その他,1592,1606,1589,1593,430400,687325560
1344,MXSコア30,東証,その他,670,672,668,670,31880,21359540
1345,上場Jリート,東証,その他,1514,1525,1508,1509,139600,211486400
1346,MXS225,東証,その他,15990,16100,15940,16030,38590,617477670
1347,上場グリチ,東証,その他,-,-,-,-,0,0
1348,MXSトピクス,東証,その他,1313,1321,1310,1320,201860,265646650
1349,アジア債券,東証,その他,12710,12710,12600,12620,241,3044220
1352,ホウスイ,東証1部,卸売業,138,143,137,141,604000,84973000
1376,カネコ種,東証JQスタンダード,水産・農林業,911,913,908,910,8400,7644700
1377,サカタのタネ,東証1部,水産・農林業,1357,1361,1352,1354,40000,54290800
1378,雪国マイタケ,東証2部,水産・農林業,249,250,247,249,24000,5963600
1379,ホクト,東証1部,水産・農林業,1979,1979,1952,1956,65800,129041300
1380,秋川牧園,東証JQスタンダード,水産・農林業,410,410,410,410,2000,820000
1381,アクシーズ,東証JQスタンダード,水産・農林業,753,753,753,753,800,602400
1382,ホーブ,東証JQスタンダード,水産・農林業,1300,1300,1300,1300,300,390000
1383,ベルグアース,東証JQスタンダード,水産・農林業,1716,1744,1710,1720,8900,15291400
1400,ルーデン,東証JQグロース,建設業,21680,22050,21500,21790,337,7326480
1405,サーラ住宅,東証2部,建設業,890,906,890,906,14900,13357400
1407,ウエストHD,東証JQスタンダード,建設業,1586,1588,1557,1566,345500,543570000
1408,サムシングHD,東証JQグロース,建設業,771,777,771,773,1500,1160100
1414,ショーボンド,東証1部,建設業,4970,4970,4895,4905,133000,654052500
1417,ミライトHD,東証1部,建設業,975,997,973,996,284500,281317300
1418,インターライフ,東証JQスタンダード,建設業,272,277,270,277,34100,9364500
1419,タマホーム,東証1部,建設業,1010,1032,996,1031,260200,265957700
1420,サンヨーH,東証2部,建設業,725,730,717,726,68300,49449100
1427,ハビタクラフト,東証TPM,建設業,-,-,-,-,0,0
1429,日本アクア,東証マザーズ,建設業,3100,3295,2965,3060,130400,404491200
1491,中外鉱,東証2部,非鉄金属,33,33,32,32,774400,25357700
1514,住石HD,東証1部,鉱業,147,151,146,149,1471200,219092700
1515,日鉄鉱,東証1部,鉱業,496,501,493,495,228000,113188000
1518,三井松,東証1部,鉱業,166,172,165,170,2821000,476552000
1540,純金信託,東証,その他,4105,4115,4100,4115,8716,35790275
1541,純プラ信,東証,その他,4645,4675,4645,4670,3519,16416165
1542,純銀信託,東証,その他,6590,6600,6570,6600,3146,20718600
1543,純パラ信,東証,その他,23670,24100,23670,24100,162,3892180
1544,上場MSジ,東証,その他,802,809,801,809,15420,12363950
1545,NASDAQ投,東証,その他,3790,3805,3790,3800,3140,11922950
1546,NYダウ30,東証,その他,16770,16800,16720,16770,955,16017750
1547,上場米国,東証,その他,2063,2073,2063,2071,5560,11491550
1548,上場チャイナ,東証,その他,1030,1035,1015,1029,11820,12169110
1549,上場インド,東証,その他,1075,1075,1069,1074,630,676640
1550,MXS外株,東証,その他,1719,1723,1715,1720,14850,25518380
1551,JASDAQ20,東証,その他,5910,6010,5850,6000,8130,48272500
1552,VIX短期,東証,その他,1080,1080,1074,1075,77384,83431929
1554,上場MS世,東証,その他,1534,1547,1526,1547,2080,3195100
1555,上場Aリート,東証,その他,1255,1257,1246,1251,10040,12572330
1556,上場日中,東証,その他,-,-,-,-,0,0
1557,SPDR500,東証,その他,19170,19310,19170,19290,613,11780460
1559,タイSET50,東証,その他,2670,2777,2655,2674,5625,15209951
1560,ブルサKLCI,東証,その他,5880,5880,5780,5790,81,472330
1561,VIX中期,東証,その他,39500,40100,39500,40100,13,516900
1562,YMアジ日,東証,その他,1650,1650,1650,1650,1000,1650000
1563,マザーズコア,東証,その他,2900,2926,2850,2903,35578,103155269
1565,日経カバコ,東証,その他,13630,13650,13630,13650,34,464080
1566,上場EM債,東証,その他,62600,62600,61400,61600,657,40711000
1567,MXSリスク5,東証,その他,1120,1159,1119,1159,400,452630
1568,TPX2倍,東証,その他,22400,22680,22340,22610,466240,10503849300
1569,TPX-1倍,東証,その他,5690,5700,5650,5650,20710,117475100
1570,日経レバ,東証,その他,10880,11030,10790,10950,4864823,53085724580
1571,日経インバ,東証,その他,3160,3170,3135,3140,200717,632650800
1572,H株ブル,東証,その他,10770,11170,10650,10930,1450,15748700
1573,H株ベア,東証,その他,12450,12540,12270,12360,1020,12658100
1574,MXSリスク10,東証,その他,1408,1408,1378,1407,140,196790
1575,中国A300,東証,その他,377,385,376,376,1730,652100
1576,南方A50,東証,その他,-,-,-,-,0,0
1577,高配当70,東証,その他,18600,18760,18600,18760,693,12992210
1578,上場225M,東証,その他,1298,1298,1267,1280,2110,2720936
1579,日経2倍,東証,その他,11390,11560,11320,11480,522120,5976779200
1580,日経-1倍,東証,その他,8490,8520,8440,8470,33440,283696700
1581,iS先進国,東証,その他,5510,5510,5480,5480,1464,8052530
1582,iSエマージン,東証,その他,5000,5030,5000,5030,750,3754650
1583,iSフロンティア,東証,その他,3635,3640,3605,3610,430,1557060
1584,サムスンG株,東証,その他,-,-,-,-,0,0
1585,ダイワEX-F,東証,その他,-,-,-,-,0,0
1586,上場EX-F,東証,その他,1069,1074,1065,1068,41,43868
1587,iS米超大,東証,その他,8600,8600,8530,8590,394,3381180
1588,iS米小型,東証,その他,12130,12160,12100,12150,776,9405690
1589,iS米高配,東証,その他,7250,7300,7230,7290,8272,59986240
1590,iS米リート,東証,その他,6770,6800,6760,6790,1846,12515740
1605,国際帝石,東証1部,鉱業,1298,1306,1290,1305,2936700,3818195300
1606,海洋掘削,東証1部,鉱業,5920,5980,5920,5940,60500,360285000
1610,ETF･電機,東証,その他,1658,1658,1658,1658,100,165800
